sentence	is_variable	variable	research_data	doc_id	uuid
By using this particular document, you accept the above-stated conditions of use.	0			30861	7202d7c3-0e63-4f1e-a1d6-d7af945dc5b0
In the past 15 years, there has been a surge in migration to the affluent democracies.	0			30861	44bc1f45-31b1-467c-b2d1-ffbaebd03081
For example, the percent foreign born more than doubled in Ireland and more than quadrupled in Spain over the last decade – rising to 14.8 percent of the population in Ireland and 10.6 percent in Spain.	0			30861	7f786f1f-f8bd-41e0-8325-ffae3a96d1e3
Of course, the rise of immigration has not been uniform across all affluent democracies.	0			30861	4a8d646a-215e-4598-be40-cc0f201b7be8
Only 3 percent of Finland and 1.6 percent of Japan were foreign-born in 2005.	0			30861	7ef77f5f-baf8-42c3-9e19-08f4041adcbc
Even though Germany has a sizable foreign-born population, the percent foreign-born actually declined modestly from 12.9 to 11 percent from 1995 to 2005.	0			30861	b4e2e785-db5d-46f0-b84e-ce173e9d82d9
The U.S. gets a lot of credit for being a “nation of immigrants,” but new immigrants actually amounted to a greater share of the population in 1996 than 2006.	0			30861	5f5e3ce8-d710-4676-902b-f6ff1875a5cc
Thus, the most important change might actually be the remarkable diversity in the extent to which affluent democracies have experienced rising immigration.	0			30861	52e920e3-8b55-4eff-b858-0b0978f1a46b
What are the consequences of this rising immigration for the politics of social policy?	0			30861	fdcbfaf7-cf37-405b-8781-070ab2087857
Our research challenges these claims and ultimately concludes that rising immigration does not undermine the welfare state.	0			30861	df5555e1-8068-43a9-8036-42e5c8133444
We specifically investigate what we call the “public support” for the welfare state – the public’s beliefs, preferences, and attitudes favoring social policies.	0			30861	b14b978a-b23f-4304-af7d-f9efe5e178fc
The argument that immigration threatens the welfare state has emerged partly because countries with generous welfare states have traditionally been viewed as more ethnically homogenous than countries with weak welfare states.	0			30861	38fe5601-7db8-4d7e-a0ab-7fa65c7efd6a
The best example of this is the U.S., with its thin social policies and greater ethnic heterogeneity.	0			30861	f33fc3d9-b08e-4948-9e56-17e308e70daa
Scholars have demonstrated that ethnicity, race and religion were more important sources of identity than social class for Americans at the beginning of the 20th century.	0			30861	135a0153-7e92-4db1-a1b7-341ff893f75d
While workers in Europe were collectively mobilizing and pressuring governments to expand social insurance and healthcare, American workers were bitterly divided by race and religion.	0			30861	29d9e4f7-099b-44f9-b9d6-aa7cceb31216
In her influential book The Color of Welfare, sociologist Jill Quadagno argues that ethnic and racial divisions constrained the development of the American welfare state.	0			30861	953e05ec-46ff-4722-a769-abc6d8f705ad
Even today, Americans are more likely to oppose welfare if they reside in proximity to larger African American populations.	0			30861	9ec7df2e-54ec-473c-9b73-5b2ddf8a45f9
